PASEO DE LA REFORMA,,RIO ELBA,505,PROLONGACION,PASEO DE LA REFORMA,6500,CIUDAD DE MEXICO,Cuauhtemoc,Cuauhtemoc
PASEO DE LA REFORMA,CALLE RIO RODANDO,505,PROLONGACION PASEO DE LA REFORMA,6500,CIUDAD DE MEXICO,Cuauhtemoc,Cuauhtemoc
PASEO DE LA REFORMA,CALLE RIO ATOYAC,505,PROLONGACION PASEO DE LA REFORMA,6500,CIUDAD DE MEXICO,Cuauhtemoc,Cuauhtemoc
AVENIDA ROMULO OFARRIL,372,COLONIA MIGUEL HIDALGO,1789,CIUDAD DE MEXICO,Alvaro Obregon,Ãlvaro Obregon
AVENIDA ANDRES MOLINA ENRÃQUEZ (EJE 1 ORIENTE),977,COLONIA EL RETO,9440,CIUDAD DE MEXICO,Iztapalapa,Iztapalapa
CALZADA DEL HUESO,960,COLONIA VILLA QUIETUD,4960,CIUDAD DE MEXICO,Coyoacan,Coyoacan
AVENIDA EJE 5 SUR,0,COLONIA LEYES DE REFORMA,9310,CIUDAD DE MEXICO,Iztapalapa,Iztapalapa
AVENIDA FRAY SERVANDO TERESA DE MIER,0,COLONIA,JARDIN BALBUENA,15900,CIUDAD DE MEXICO,Venustiano Carranza,Venustiano Carranza
CERRADA MILITARES,560,COLONIA GUADALUPE DEL MORAL,CENTRAL DE ABASTO,CENTRAL DE ABASTOS DE LA CIUDAD DE MEXICO,9040,CIUDAD DE MEXICO,Iztapalapa,Iztapalapa
AVENIDA INSURGENTES SUR,1391,COLONIA INSURGENTES MIXCOAC,3920,CIUDAD DE MEXICO,Benito Juarez,Benito Juarez
CALLE ERNESTO DOMINGUEZ ,1100,COLONIA CENTRO DE SANTA FE,1210,CIUDAD DE MEXICO,Alvaro Obregon,Alvaro Obregon
CALZADA TICOMAN,CONSTITUCION DE 1857,0,COLONIA SANTA MARIA TICOMAN,7330,CIUDAD DE MEXICO,Gustavo A. Madero,Gustavo A. Madero
AVENIDA ANDRES MOLINA ENRIQUEZ (EJE 1 ORIENTE),977,COLONIA,EL RETO,9440,CIUDAD DE MEXICO,Iztapalapa,Iztapalapa
CALLE ELECTRICISTAS,204,COLONIA 20 DE NOVIEMBRE,EDIFICIO COMERCIAL Y DE SERVICIOS,CFE,15300,CIUDAD DE MEXICO,Venustiano Carranza,Venustiano Carranza
AVENIDA PASEO DE LAS PALMAS,239,COLONIA,LOMAS DE CHAPULTEPEC III SECCION,11000,CIUDAD DE MEXICO,Miguel Hidalgo,Miguel Hidalgo
CIRCUITO BICENTENARIO (BOULEVARD PUERTO AEREO),270,COLONIA SANTA CRUZ AVIACION,15710,CIUDAD DE MEXICO,Venustiano Carranza,Venustiano Carranza
AVENIDA SONORA,202,COLONIA ROMA NORTE,6700,CIUDAD DE MEXICO,Cuauhtemoc,Cuauhtemoc
AVENIDA DIVISION DEL NORTE,2237,COLONIA EL ROSEDAL,4330,CIUDAD DE MEXICO,Coyoacan,Coyoacan
AVENIDA JOSE MARIA CASTORENA,425,COLONIA CUAJIMALPA,5000,CIUDAD DE MEXICO,Cuajimalpa de Morelos,Cuajimalpa de Morelos
AVENIDA CANAL DE MIRAMONTES,123,COLONIA RESIDENCIAL ACOXPA,14300,CIUDAD DE MEXICO,Tlalpan,Tlalpan
CALLE ESTRELLA,0,COLONIA EL RODEO,9850,CIUDAD DE MEXICO,Iztapalapa,Iztapalapa
CALLE PARAISO,3417,COLONIA XALPA,PLAZA ERMITA,9640,CIUDAD DE MEXICO,Iztapalapa,Iztapalapa
AVENIDA SAN LORENZO,0,COLONIA EL RODEO,9850,CIUDAD DE MEXICO,Iztapalapa,Iztapalapa
CALLE UNION,0,COLONIA AGRICOLA PANTITLAN,8100,CIUDAD DE MEXICO,Iztacalco,Iztacalco
AVENIDA MIGUEL OTHON DE MENDIZABAL ORIENTE,AVENIDA MIGUEL OTHON DE MENDIZABAL,166,UNIDAD HABITACIONAL,PONIENTE 152,7720,CIUDAD DE MEXICO,Gustavo A. Madero,Gustavo A. Madero
CALLE CLAUDIO BERNARD,0,COLONIA DOCTORES,6720,CIUDAD DE MEXICO,Cuauhtemoc,Cuauhtemoc
AVENIDA,DOCTOR JOSE MARIA VERTIZ,0,COLONIA DOCTORES,6720,CIUDAD DE MEXICO,Cuauhtemoc,Cuauhtemoc
AVENIDA RICARDO FLORES MAGON,130,COLONIA GUERRERO,PLAZUELA COMERCIAL,PLAZA TERRANOVA,6300,CIUDAD DE MEXICO,Cuauhtemoc,Cuauhtemoc
CALLE SAN PEDRO ACTOPAN,0,COLONIA,SAN GREGORIO ATLAPULCO,16600,CIUDAD DE MEXICO,Xochimilco,Xochimilco
CARRETERA FEDERAL A CUERNAVACA,5625,COLONIA,SAN PEDRO MARTIR,14650,CIUDAD DE MEXICO,Tlalpan,Tlalpan
AVENIDA CENTRAL DE ABASTOS,0,COLONIA,EJIDOS DEL MORAL,9040,CIUDAD DE MEXICO,Iztapalapa,Iztapalapa
CALZADA DE GUADALUPE,0,COLONIA,GUADALUPE TEPEYAC,7840,CIUDAD DE MEXICO,Gustavo A. Madero,Gustavo A. Madero
AVENIDA 20 DE NOVIEMBRE,139,COLONIA,TIERRA NUEVA,16030,CIUDAD DE MEXICO,Xochimilco,Xochimilco
CALLE TLAPALEROS,0,COLONIA EJIDOS DEL MORAL,9040,CIUDAD DE MEXICO,Iztapalapa,Iztapalapa
CIRCUITO BICENTENARIO JOSE VASCONCELOS,0,COLONIA CONDESA,6140,CIUDAD DE MEXICO,Cuauhtemoc,Cuauhtemoc
CALLE ALBAÑILES,0,UNIDAD HABITACIONAL,EL ROSARIO,2100,CIUDAD DE MEXICO,Azcapotzalco,Azcapotzalco
CALLE CONCEPCIoN BEISTEGUI,197,COLONIA NARVERTE ORIENTE,CONDOMINIO EMPRESARIAL RAFAEL,3020,CIUDAD DE MEXICO,Benito Juarez,Benito Juarez
CALLE LUIS VIVES,8,COLONIA LOS MORALES POLANCO,CIUDAD DE MEXICO,Miguel Hidalgo,Miguel Hidalgo
CALLE TEMISTOCLES,246,COLONIA POLANCO REFORMA,11550,CIUDAD DE MEXICO,Miguel Hidalgo,Miguel Hidalgo
CALLE JOSE J. JASSO,0,COLONIA,MOCTEZUMA 1A SECCION,15500,CIUDAD DE MEXICO,Venustiano Carranza,Venustiano Carranza
CALLE LAGO PATZCUARO,0,COLONIA,ANAHUAC,11320,CIUDAD DE MEXICO,Miguel Hidalgo,Miguel Hidalgo
CALLE RIO LERMA,14,COLONIA,CUAUHTEMOC,6500,CIUDAD DE MEXICO,Cuauhtemoc,Cuauhtemoc
CALZADA SAN SIMON,234,COLONIA ATLAMPA,6450,CIUDAD DE MEICO,Cuauhtemoc,Cuauhtemoc
PROLONGACION TOPACIO,0,COLONIA VISTA ALEGRE,6860,CIUDAD DE MEXICO,Cuauhtemoc,Cuauhtemoc
CALLE PRESA FALCON,0,COLONIA AMPLIACION GRANADA,11529,CIUDAD DE MEXICO,Miguel Hidalgo,Miguel Hidalgo
CALLE GRANJAS,300,COLONIA JARDIN AZPEITIA,2530,CIUDAD DE MEXICO,Azcapotzalco,Azcapotzalco
AVENIDA MIGUEL ANGEL DE QUEVEDO,560,COLONIA OXTOPULCO,MEGA COMERCIAL MEXICANA,4318,CIUDAD DE MEXICO,Coyoacan,Coyoacan
CALLE TLALOC,0,COLONIA CONTADERO,5500,CIUDAD DE MEXICO,Cuajimalpa de Morelos,Cuajimalpa de Morelos
AVENIDA SANTA ANA,294,COLONIA,EJIDO DE SAN FRANCISCO CULHUACAN,4420,CIUDAD DE MEXICO,Coyoacan,Coyoacan
CALLE LLANURA,3177,COLONIA INSURGENTES CUICUILCO,4530,CIUDAD DE MEXICO,Coyoacan,Coyoacan
EJE CENTRAL LAZARO CARDENAS,197,COLONIA NARVARTE ORIENTE,CONDOMINIO EMPRESARIAL RAFAEL,3020,CIUDAD DE MEXICO,Benito Juarez,Benito Juarez
CALLE AUGUSTO RODIN,265,COLONIA SAN JUAN MIXCOAC,3730,CIUDAD DE MEXICO,Benito Juarez,Benito Juarez
CIRCUITO INTERIOR (AVENIDA REVOLUCION),825,COLONIA NONOALCO,3700,CIUDAD DE MEXICO,Benito Juarez,Benito Juarez
CIRCUITO INTERIOR (AVENIDA RIO CHURUBUSCO),0,COLONIA XOCO,3330,CIUDAD DE MEXICO,Benito Juarez,Benito Juarez
CALLE MARTIN MENDALDE,1789,COLONIA ACACIAS,3240,CIUDAD DE MEXICO,Benito Juarez,Benito Juarez
CALLE MIER Y PESADO,724,COLONIA DEL VALLE NORTE,3103,CIUDAD DE MEXICO,Benito Juarez,Benito Juarez
CALLE RIO DE LA PLATA,71,COLONIA,CUAUHTEMOC,6500,CIUDAD DE MEXICO,Cuauhtemoc,Cuauhtemoc
PROLONGACION DE LAUREL,0,COLONIA SAN PEDRO MARTIR,14650,CIUDAD DE MEXICO,Tlalpan,Tlalpan
CALLE BOULEVARD PICACHO AJUSCO,201,COLONIA,AMPLIACION MIGUEL HIDALGO CUARTA SECCION,14250,CIUDAD DE MEXICO,Tlalpan,Tlalpan
CALZADA INSURGENTES SUR,3702,COLONIA TLALPAN CENTRO,14000,CIUDAD DE MEXICO,Tlalpan,Tlalpan
CALLE PUENTE DE PIEDRA,21,COLONIA TORIELLO GUERRA,14050,CIUDAD DE MEXICO,Tlalpan,Tlalpan
CALLE ALBERTO M. GONZALEZ,2186,COLONIA CONSTITUCION DE 1917,9660,CIUDAD DE MEXICO,Iztapalapa,Iztapalapa
AVENIDA EJE 8 SUR (CALZADA ERMITA IZTAPALAPA),1635,COLONIA EL MANTO,9830,CIUDAD DE MEXICO,Iztapalapa,Iztapalapa
CALLE ORIENTE 257,0,COLONIA AGRICOLA ORIENTAL,8500,CIUDAD DE MEXICO,Iztacalco,Iztacalco
CALLE HUITZITL,0,COLONIA SANTA ISABEL TOLA,7010,CIUDAD DE MEXICO,Gustavo A. Madero,Gustavo A. Madero
AVENIDA MIGUEL OTHEN DE MENDIZABAL ORIENTE,343,COLONIA,NUEVA INDUSTRIAL VALLEJO,7700,CIUDAD DE MEXICO,Gustavo A. Madero,Gustavo A. Madero
CALZADA VALLEJO EJE 1 PONIENTE,2004,COLONIA SAN JOSE DE LA ESCALERA,7630,CIUDAD DE MEXICO,Gustavo A. Madero,Gustavo A. Madero
CALLE CUAUHTEMOC,2004,COLONIA SAN JOSE DE LA ESCALERA,7630,CIUDAD DE MEXICO,Gustavo A. Madero,Gustavo A. Madero
CALLE ALVARO OBREGON,0,COLONIA,SANTA ANITA,8300,CIUDAD DE MEXICO,Iztacalco,Iztacalco
CALLE MIER Y PESADO,41,COLONIA,ARAGON LA VILLA,7000,CIUDAD DE MEXICO,Gustavo A. Madero,Gustavo A. Madero
CALZADA VALLEJO,341,COLONIA HEROES DE NACOZARI,7780,CIUDAD DE MEXICO,Gustavo A. Madero,Gustavo A. Madero
CALLE GOMA,465,COLONIA GRANJAS MEXICO,8400,CIUDAD DE MEXICO,Iztacalco,Iztacalco
AVENIDA CALZADA DE TLALPAN,474,COLONIA,VIADUCTO PIEDAD,8200,CIUDAD DE MEXICO,Iztacalco,Iztacalco
CALZADA DE LAS AGUILAS,807,COLONIA AMPLIACION LAS AGUILAS,1740,CIUDAD DE MEXICO,Alvaro Obregon,Alvaro Obregon
CALLE SAN JUAN,585,COLONIA OLIVAR DE LOS PADRES,PLAZUELA COMERCIAL,PLAZA SQUARE,1780,CIUDAD DE MEXICO,Alvaro Obregon,Alvaro Obregon
CALLE AQUILES SERDAN,0,BARRIO SAN MATEO,13040,CIUDAD DE MEXICO,Tlahuac,Tlahuac
CALLE HEROES FERROCARRILEROS,6400,CIUDAD DE MEXICO,Cuauhtemoc,Cuauhtemoc
CALLE LUCERNA,164,COLONIA,JUAREZ,6600,CIUDAD DE MEXICO,Cuauhtemoc,Cuauhtemoc
CALLE VIENA,164,COLONIA JUAREZ,CIUDAD DE MEXICO,Cuauhtemoc,Cuauhtemoc
CALLE LAGO XOCHIMILCO,251,COLONIA ANAHUAC,11320,CIUDAD DE MEXICO,Miguel Hidalgo,Miguel Hidalgo
CALLE ANTIGUO CAMINO XOCHIMILCO-TULYEHUALCO,0,COLONIA SAN LUIS TLAXIALTEMALCO,16610,CIUDAD DE MEXICO,Xochimilco,Xochimilco
CALLE VENUSTIANO CARRANZA,24,COLONIA CENTRO,6000,CIUDAD DE MEXICO,Cuauhtemoc,Cuauhtemoc
AVENIDA CAMINO A SANTA FE,520,COLONIA CUEVITAS,1220,CIUDAD DE MEXICO,Alvaro Obregon,Alvaro Obregon
AVENIDA DEL IMAN,0,COLONIA EL CARACOL,4739,CIUDAD DE MEXICO,Coyoacan,Coyoacan
CALLE PAZ,3254,COLONIA SANTA MARTHA ACATITLA,9510,CIUDAD DE MEXICO,Iztapalapa,Iztapalapa
AVENIDA INSURGENTES NORTE,1070,COLONIA TLACAMACA,7370,CIUDAD DE MEXICO,Gustavo A. Madero,Gustavo A. Madero
AVENIDA INSURGENTES NORTE,1072,COLONIA TLACAMACA,7370,CIUDAD DE MEXICO,Gustavo A. Madero,Gustavo A. Madero
AVENIDA INSURGENTES NORTE,1074,COLONIA TLACAMACA,7370,CIUDAD DE MEXICO,Gustavo A. Madero,Gustavo A. Madero
